estacion,tendencia_m_año,r2,p_valor,n_mediciones,nivel_medio,rango_m,año_inicio,año_fin,x,y,masa_agua
QLSub - Sant Roc 1 (Emol-2),0.01743926227322178,0.0011198792952940657,0.015690060043705517,5212.0,442.68056334639294,13.66985072,2007.0,2022.0,456537.5,4668806.0,Fluviovolcànic de la Garrotxa
QLSub - Sant Roc 2 (Emol 1),0.10247053438856914,0.0013492041028494088,0.021492904360685603,3918.0,438.3217945348642,441.856,2007.0,2022.0,456538.0,4668806.0,Fluviovolcànic de la Garrotxa
QLSub - Serra-Garrofé,0.8008664890588503,0.3150501483080547,0.0459423284795182,13.0,232.89000000000001,26.28,2007.0,2023.0,321416.0,4610547.0,Al·luvial d'Urgell
QLSub - Sondeig De L'Hostalot,0.26130081909890834,0.07010085598287506,0.2111909386322168,24.0,625.5133333333333,34.84000000000003,2003.0,2026.0,431106.0,4637146.0,Plana de Vic - Collsacabra
QLSub - St. Martí  Morana,0.10236954241266528,0.08669099456597773,0.2513119078633598,17.0,434.4958823529411,7.0,2007.0,2024.0,354706.5,4626324.7,Calcàries de Tàrrega
QLSub - St. Martí De Maldà-1,0.03246375240890864,0.009981685278319366,0.7231419797078367,15.0,395.59333333333336,6.160000000000025,2008.0,2025.0,339057.0,4602678.0,N/D - Subterrània
QLSub - St. Ramon 2 Sta Fe,-0.674826850789561,0.05241905997421804,0.3607964719194021,18.0,520.6922222222223,71.60000000000002,2008.0,2026.0,362296.4,4617128.6,Calcàries de Tàrrega
QLSub - T.De Fluvià(La Font),0.651035518593353,0.6557140540050193,0.0007940500349073332,13.0,400.95923076923077,7.900000000000034,2012.0,2023.0,333725.0,4634635.0,N/D - Subterrània
QLSub - Talladell,0.29579653446228904,0.35303199074523084,0.032247116134380006,13.0,378.6684615384615,6.569999999999993,2008.0,2025.0,346912.0,4612011.0,Calcàries de Tàrrega
QLSub - Talteüll,0.04730770201773062,0.06493619959084071,0.37928138315671134,14.0,450.3171428571428,4.4599999999999795,2003.0,2025.0,360006.0,4629946.0,Calcàries de Tàrrega
QLSub - Tio Pepe 2,-0.12606044921148254,0.01138502143093274,0.08780733829831318,257.0,7.12455252918288,86.21,2000.0,2024.0,287089.98,4491476.6,Plana d'Alcanar
QLSub - Tonya,-0.06088834099173035,0.012313721725101014,0.6824437155336069,16.0,277.90749999999997,11.920000000000016,2008.0,2026.0,327285.0,4606183.0,Al·luvial d'Urgell
QLSub - Torre David Blanco,-0.10964440546830057,0.2109352822423,0.13309425201754274,12.0,310.9266666666667,3.2800000000000296,2014.0,2025.0,291175.0,4620226.0,N/D - Subterrània
QLSub - Torre De Claramunt,-0.5991099010466222,0.40726465712950966,9.418503802758841e-06,40.0,306.85949999999997,6.399999999999977,2000.0,2006.0,387601.22,4598898.49,Carme-Capellades
QLSub - Trilla,0.5393786113897721,0.3201886825366486,0.04382988602650115,13.0,400.88692307692304,20.54000000000002,2007.0,2025.0,353261.0,4624051.0,Calcàries de Tàrrega
QLSub - Verdú,-0.015250387700059393,0.032545920925617845,0.5553303358660132,13.0,359.7976923076924,1.3000000000000114,2008.0,2025.0,342302.0,4608252.0,Calcàries de Tàrrega
QLSub - Villa Lutgarda,-0.1367062597458572,0.04912598098996296,0.4463326552839372,14.0,107.72785714285716,13.0,2010.0,2026.0,483244.0,4642178.0,Plioquaternari de l'Onyar
QLSub - Violí,-0.36907349099020975,0.317478544187676,0.056418558984071526,12.0,288.68916666666667,8.25,2013.0,2024.0,334890.0,4613418.0,Al·luvial d'Urgell
